rank,name,symbol
0,Microsoft,MSFT
1,Twitter,TWTR
2,Snap,SNAP
3,Robinhood Markets,HOOD
4,Walmart,WMT
5,Peloton Interactive,PTON
6,ContextLogic,WISH
7,Catalyst Pharmaceuticals,CPRX
8,Tesla,TSLA
9,Apple,AAPL
10,AMC Entertainment,AMC
11,Ford Motor,F
12,Sundial Growers,SNDL
13,Amazon,AMZN
14,Disney,DIS
15,NIO,NIO
16,Meta Platforms,FB
17,Netflix,NFLX
18,Lucid Group,LCID
19,NVIDIA,NVDA
20,Pfizer,PFE
21,Vanguard S&P 500 ETF,VOO
22,GoPro,GPRO
23,American Airlines,AAL
24,Plug Power,PLUG
25,Alibaba,BABA
26,SPDR S&P 500 ETF,SPY
27,Aurora Cannabis,ACB
28,Carnival,CCL
29,Bank of America,BAC
30,Palantir Technologies,PLTR
31,Nokia,NOK
32,Delta Air Lines,DAL
33,Starbucks,SBUX
34,AMD,AMD
35,GameStop,GME
36,Alphabet Class A,GOOGL
37,Rivian Automotive,RIVN
38,Coinbase,COIN
39,Tilray Brands,TLRY
40,OrganiGram,OGI
41,Coca-Cola,KO
42,AT&T,T
43,Canopy Growth,CGC
44,Virgin Galactic Holdings,SPCE
45,PayPal,PYPL
46,Moderna,MRNA
47,Vanguard Total Stock Market ETF,VTI
48,Blackberry,BB
49,Uber,UBER
